chain,project,symbol,tvlUsd,apyBase,apyReward,apy,rewardTokens,pool,apyPct1D,apyPct7D,apyPct30D,stablecoin,ilRisk,exposure,predictions,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apyMean30d,volumeUsd1d,volumeUsd7d,apyBaseInception
BSC,pendle,SATUSD+,1146280,1.26151,0.12068,1.38218,['0xb3ed0a426155b79b898849803e3b36552f7ed507'],a261620d-ba32-4ea2-a792-be8bae4a2c37,-0.02239,-0.75952,-1.33953,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 63, 'binnedConfidence': 2}",For LP | Maturity 26MAR2026,4.17011,0.34583,84,False,"['0x6e3e626f8741cd0e48ba1367b35be5622b426ea0', '0x193b2f36957f7e9e498758bbf182273bc145bb92']",,,2.76463,0.0,0.0,
BSC,pendle,SATUSD+,1146280,6.63818,,6.63818,,9dc9006a-c325-4acf-916c-4e40b7bc2682,-0.05428,-1.69026,-2.47436,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 56.99999999999999, 'binnedConfidence': 1}",For buying PT-satUSD+-26MAR2026,6.64282,0.12162,84,False,['0x03d9c4e4bc5d3678a9076cac50db0251d8676872'],,,9.0211,,,
Ethereum,pendle,UPUSDC,1129961,12.42019,0.11185,12.53204,['0x808507121b80c02388fad14726482e061b8da827'],59bbffe5-1291-4ecc-b0ac-2b32e70b17e2,-0.00257,10.69099,5.2992,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 82, 'binnedConfidence': 3}",For LP | Maturity 02APR2026,8.27407,0.25002,127,False,"['0x3ade21ebcf2971e62a0155edfb9c7d16698debef', '0x9a68bba8074f78727a7b129e30175388e02a5b9d']",,,7.47992,1969.03058,27524.75157,
Ethereum,pendle,UPUSDC,1129961,7.43905,,7.43905,,c0e88487-b287-49e6-b445-d0501b5a8978,-0.01787,-1.11821,-1.71311,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 54, 'binnedConfidence': 1}",For buying PT-upUSDC-02APR2026,9.47438,0.04555,127,False,['0x80e1048ede66ec4c364b4f22c8768fc657ff6a42'],,,8.39511,,,
Ethereum,pendle,WEETHS,1101921,2.69554,0.01991,2.71545,['0x808507121b80c02388fad14726482e061b8da827'],9ca5b73d-fc1f-4768-b51e-927bb47c6395,0.00819,-0.01852,0.66414,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 82, 'binnedConfidence': 3}",For LP | Maturity 25JUN2026,2.9476,0.01992,225,False,"['0x6cc3237ae1bbeba960c35b47b0424d34b6404037', '0x012badcc6e824c2ea32bd5367ebda3be3402c9c5']",,,2.45246,0.0,0.0,
Ethereum,pendle,WEETHS,1101921,3.71527,,3.71527,,e2012a65-2add-42d4-bea7-ccf261c19ecc,0.0,-0.05319,-0.03416,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 56.00000000000001, 'binnedConfidence': 1}",For buying PT-weETHs-25JUN2026,3.70542,0.01781,225,False,['0x917cee801a67f933f2e6b33fc0cd1ed2d5909d88'],,,3.74408,,,
Base,pendle,YOUSD,1052008,8.64364,,8.64364,,c7c9e2c5-a3ea-4e6e-80d7-090fd2d604c5,0.30841,0.76916,0.30131,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 59, 'binnedConfidence': 1}",For buying PT-yoUSD-26MAR2026,9.79393,0.08646,141,False,['0x0000000f2eb9f69274678c76222b35eec7588a65'],,,8.29361,,,
Base,pendle,YOUSD,1052008,11.70849,0.73673,12.44522,['0xa99f6e6785da0f5d6fb42495fe424bce029eeb3e'],4ae1949e-91ea-4745-a461-7f04d0f7538c,-0.13748,0.37768,4.95916,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 79, 'binnedConfidence': 3}",For LP | Maturity 26MAR2026,9.89555,0.15206,141,False,"['0x0177055f7429d3bd6b19f2dd591127db871a510e', '0xe181aed8e14469231618504df46e8c069314589b']",,,9.08198,1390.78933,3221.80963,
Ethereum,pendle,RSETH,1045231,2.63027,0.0,2.63027,['0x808507121b80c02388fad14726482e061b8da827'],4c297a1d-8e6d-4a06-b3a0-38b7f4bb3400,0.03204,0.22163,-0.29267,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 52, 'binnedConfidence': 1}",For LP | Maturity 25JUN2026,3.23664,0.15359,225,False,"['0x1a0d4d92a9fdd5fff38c011275c16e7a147d3788', '0x730a5e2acebccaa5e9095723b3cb862739da793c']",,,2.53513,0.0,282.64699,
Ethereum,pendle,RSETH,1045231,2.50472,,2.50472,,79d38593-2c1d-4ec4-b92e-8d1fe025df5f,0.0,-0.00028,-0.00454,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 67, 'binnedConfidence': 2}",For buying PT-rsETH-25JUN2026,2.63258,0.01014,225,False,['0xa1290d69c65a6fe4df752f95823fae25cb99e5a7'],,,2.50474,,,
Ethereum,pendle,MSYRUPUSDP,964357,6.05405,0.23971,6.29376,['0x808507121b80c02388fad14726482e061b8da827'],736ebe53-bc6d-4ff5-b1a4-0a41c5488270,-3.73306,-7.5923,-2.01259,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 74, 'binnedConfidence': 3}",For LP | Maturity 26FEB2026,10.36709,0.13278,94,False,"['0x7e818c8c07aeb2aa297c9510f94e18c9a7a05ba4', '0x84568bccd84f7fd8c680e9101da0ef75a024b6b9']",,,8.65554,0.0,0.0,
Ethereum,pendle,MSYRUPUSDP,964357,12.53937,,12.53937,,64e9da6c-38d7-4af3-a110-bfbd541de502,-1.29991,5.64846,3.1901,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 59, 'binnedConfidence': 1}",For buying PT-msyrupUSDp-26FEB2026,9.08325,0.09054,94,False,['0x2fe058ccf29f123f9dd2aec0418aa66a877d8e50'],,,8.1595,,,
Ethereum,pendle,SUPERUSDC,906868,4.67521,0.74721,5.42241,['0x808507121b80c02388fad14726482e061b8da827'],c22a0b47-a5b1-4396-8704-5e9af041e65d,-0.09145,-5.0625,,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 72, 'binnedConfidence': 2}",For LP | Maturity 30APR2026,7.85537,0.10271,27,False,"['0x5d99ff7bcd32c432cbc07fbb0a593ef4cc9d019d', '0x4d654f255d54637112844bd8802b716170904fee']",,,7.86586,0.0,192784.71229,
Ethereum,pendle,SUPERUSDC,906868,6.6263,,6.6263,,f8f00f37-d2ed-4a81-b36a-30b581bef8b2,-0.19882,-1.95324,,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 71, 'binnedConfidence': 2}",For buying PT-superUSDC-30APR2026,7.7389,0.04127,27,False,['0xf6ebea08a0dfd44825f67fa9963911c81be2a947'],,,7.82503,,,
Ethereum,pendle,TETH,862131,3.45166,,3.45166,,d8673a18-0d36-44b5-8cbc-f373a2b23c12,-0.0001,-0.06544,-0.66162,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 55.00000000000001, 'binnedConfidence': 1}",For buying PT-tETH-30APR2026,3.90403,0.02819,49,False,['0xd11c452fc99cf405034ee446803b6f6c1f6d5ed8'],,,3.71815,,,
Ethereum,pendle,TETH,862131,2.97232,0.09731,3.06963,['0x808507121b80c02388fad14726482e061b8da827'],a585ad89-8464-4f3e-97e9-704733778322,0.10803,0.12117,-0.76459,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 61, 'binnedConfidence': 2}",For LP | Maturity 30APR2026,3.94001,0.0677,49,False,"['0xaadf90d29ef2866801d177962fae85dd81e65f04', '0xb2dbc10f4fa6113ac75eea254806f6a2aa4bf20b']",,,3.27753,222.23898,2206.71902,
Ethereum,pendle,PUFETH,811083,3.9722,,3.9722,,12b04db2-d875-49b9-acbb-399b83ce6384,-0.10869,-0.156,-0.00194,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 66, 'binnedConfidence': 2}",For buying PT-pufETH-25JUN2026,4.27525,0.01678,224,False,['0xd9a442856c234a39a81a089c06451ebaa4306a72'],,,4.1156,,,
Ethereum,pendle,PUFETH,811083,0.82622,0.11516,0.94138,['0x808507121b80c02388fad14726482e061b8da827'],1e0f6284-9f20-44c3-8236-67624a568397,-3.89601,-4.3952,-3.4546,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 91, 'binnedConfidence': 3}",For LP | Maturity 25JUN2026,3.83277,0.11585,224,False,"['0x84013d1a574515b6a05a0e2392584d445d39d1df', '0x253008ba4ae2f3e6488dc998a5321d4eb1a0c905']",,,3.51011,0.0,0.0,
Ethereum,pendle,MHYPERETH,709163,4.71994,0.02131,4.74125,['0x808507121b80c02388fad14726482e061b8da827'],11403bb6-e709-4075-aeab-dad694775037,0.00048,2.13158,-2.2346,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 88, 'binnedConfidence': 3}",For LP | Maturity 30APR2026,5.65345,0.13603,43,False,"['0xc1eb2aef318994fd3e077626ffd0749b039ed8bd', '0x4fb450e67e7a5e968e5315dc00f2e52d7f837b54']",,,5.30014,0.0,0.0,
Ethereum,pendle,MHYPERETH,709163,5.80003,,5.80003,,6a0f0b8a-db65-4d65-954f-a4d662492f81,2e-05,-0.01658,-0.48743,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 62, 'binnedConfidence': 2}",For buying PT-mHyperETH-30APR2026,6.09687,0.01935,43,False,['0x5a42864b14c0c8241ef5ab62dae975b163a2e0c1'],,,6.04163,,,
Hyperliquid L1,pendle,WNLP,679719,3.46485,0.28493,3.74978,['0xD6Eb81136884713E843936843E286FD2a85A205A'],99703d2e-a388-44ff-81b7-a7946b520d1e,0.00197,-1.68739,-34.62711,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 57.99999999999999, 'binnedConfidence': 1}",For LP | Maturity 25JUN2026,10.46761,0.56139,40,False,"['0x4eb660811bcb71174b04a1f102f784efe794a66b', '0x9b7430db2c59247e861702b5c85131eeaf03aed3']",,,8.31419,0.0,0.0,
Hyperliquid L1,pendle,WNLP,679719,7.81555,,7.81555,,9d6cb595-eebb-45d0-b10b-c6171a94f8d4,0.03615,-1.43714,0.61486,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 71, 'binnedConfidence': 2}",For buying PT-wNLP-25JUN2026,7.85824,0.04901,40,False,['0x4cc221cf1444333510a634ce0d8209d2d11b9bba'],,,8.32747,,,
Ethereum,pendle,AGETH,637310,4.40423,0.06801,4.47224,['0x808507121b80c02388fad14726482e061b8da827'],fa5191a3-c3e4-4b99-8d94-b537fa5a4681,-0.29758,-4.6607,-0.76241,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 64, 'binnedConfidence': 2}",For LP | Maturity 25JUN2026,5.4528,0.22626,225,False,"['0xc21eb911833f283c7e9b05398f2b2f803d8dcee3', '0xb1b9150f2085f6a553b547099977181ca802752a']",,,6.1083,0.0,3064.81039,
Ethereum,pendle,AGETH,637310,5.00339,,5.00339,,36ee266e-eb0c-47ee-9447-f15efaea6dcc,-0.13671,-0.15337,0.53113,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 61, 'binnedConfidence': 2}",For buying PT-agETH-25JUN2026,3.70459,0.05069,225,False,['0xe1b4d34e8754600962cd944b535180bd758e6c2e'],,,4.8452,,,
Ethereum,pendle,FXSAVE,584836,6.52313,,6.52313,,0af2a89e-cfcd-4e9c-83a4-0afe9939502f,1e-05,0.22884,-0.84953,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 67, 'binnedConfidence': 2}",For buying PT-fxSAVE-30APR2026,7.74747,0.05106,115,False,['0x7743e50f534a7f9f1791dde7dcd89f7783eefc39'],,,6.63185,,,
Ethereum,pendle,FXSAVE,584836,3.25965,0.03832,3.29798,['0x808507121b80c02388fad14726482e061b8da827'],e59f4411-983f-46ae-ab24-5325728890ca,-0.06573,-0.25277,-1.50005,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 72, 'binnedConfidence': 2}",For LP | Maturity 30APR2026,6.74375,0.13322,114,False,"['0xb1e926428ebec4421cce1ec6d9ff65d27f4b4bb6', '0x13945b761b2ed3219a497a46d15a8923f418d2ab']",,,3.8782,0.0,0.0,
BSC,pendle,SOLVBTC.BNB,578376,1.3813,,1.3813,,a7aa2c65-4b9c-47de-9803-0e2dff9c2583,0.02847,0.00576,0.06649,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 79, 'binnedConfidence': 3}",For buying PT-SolvBTC.BNB-26MAR2026,1.25522,0.00977,65,False,['0x6c948a4c31d013515d871930fe3807276102f25d'],,,1.38998,,,
BSC,pendle,SOLVBTC.BNB,578376,1.15088,0.00249,1.15337,['0xb3ed0a426155b79b898849803e3b36552f7ed507'],129d082e-54f3-4475-b444-7d4455460302,0.00226,0.09634,0.31051,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 61, 'binnedConfidence': 2}",For LP | Maturity 26MAR2026,1.12443,0.03974,65,False,"['0xab785c6eecb26376ceb49c2730d46bdf675098a7', '0x58b4441b97c577b66e46aa155e04dc4652fd0d34']",,,0.94977,0.0,0.0,
Arbitrum,pendle,USDAI,574999,1.73316,8.57688,10.31003,['0x0c880f6761f1af8d9aa9c466984b80dab9a8c9e8'],d2bc2c4d-2080-4ad2-ba0f-ef4d6d6e5189,-1.06957,5.28286,,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 72, 'binnedConfidence': 2}",For LP | Maturity 18JUN2026,7.76463,0.1709,12,False,"['0x1cdde40e29da213f42a7fa109ccadca372d9ee1b', '0x5edcbc20cac67adc2e724d4348ff85132b085b82']",,,7.9552,206.4802,149228.75893,
Arbitrum,pendle,USDAI,574999,6.37989,,6.37989,,6fc8395f-40c4-42c1-9002-c2b48c5e4c48,-0.10084,1.34325,,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 66, 'binnedConfidence': 2}",For buying PT-USDai-18JUN2026,5.18782,0.04802,12,False,['0x0a1a1a107e45b7ced86833863f482bc5f4ed82ef'],,,5.34921,,,
Ethereum,pendle,SAID,552892,11.38884,0.30432,11.69315,['0x808507121b80c02388fad14726482e061b8da827'],5eebb615-921c-41b2-97e1-cd3baef440b1,-0.03717,-0.87442,-8.03993,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 63, 'binnedConfidence': 2}",For LP | Maturity 30JUL2026,15.44155,0.21221,35,False,"['0xbf3e030a77f215a77434f084392d9159a66963d2', '0x39fb0bb5d696ec6da2d827649cf3a3f00299d2dd']",,,15.18216,0.0,0.0,
Ethereum,pendle,SAID,552892,9.06332,,9.06332,,28a35fcb-2408-447f-aa37-ad0f6affb51e,-0.11143,-0.08344,0.68265,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 83, 'binnedConfidence': 3}",For buying PT-sAID-30JUL2026,8.52481,0.08238,35,False,['0xb3b3c527ba57cd61648e2ec2f5e006a0b390a9f8'],,,8.26689,,,
Hyperliquid L1,pendle,XHYPE,546755,7.13434,,7.13434,,4c3036fa-7857-4a9d-b595-aa910f9b68ed,-2.18044,-2.0801,-0.60746,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 55.00000000000001, 'binnedConfidence': 1}",For buying PT-xHYPE-26FEB2026,8.05038,0.03224,84,False,['0xac962fa04bf91b7fd0dc0c5c32414e0ce3c51e03'],,,8.71719,,,
Hyperliquid L1,pendle,XHYPE,546755,5.99256,0.15156,6.14412,['0xD6Eb81136884713E843936843E286FD2a85A205A'],50377aaf-5e01-4955-a7e3-0fe00e0bc2c2,0.63529,-0.77989,-1.93233,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 54, 'binnedConfidence': 1}",For LP | Maturity 26FEB2026,7.94209,0.16939,84,False,"['0x4c06ed138bac52bd8999fd8718919288e5707bd5', '0xd288a2fdaa529848939d371da31ac75e3f1ea9b7']",,,7.18041,0.0,0.0,
Ethereum,pendle,SWETH,487804,3.18426,1e-05,3.18427,['0x808507121b80c02388fad14726482e061b8da827'],3e99314b-6e1d-4191-a4e6-35ff44f4b21e,0.17055,0.09829,0.24928,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 69, 'binnedConfidence': 2}",For LP | Maturity 25JUN2026,3.40641,0.06928,224,False,"['0x761353416187cd12cb5fcbf524ddda940705acc5', '0xaa68ca9c69a4ff22203ce189ce4448d7401875e8']",,,3.1868,0.0,0.0,
Ethereum,pendle,SWETH,487804,3.32566,,3.32566,,062770d8-b153-4b2a-b8ad-645815a80bac,0.0,-1e-05,0.04666,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 67, 'binnedConfidence': 2}",For buying PT-swETH-25JUN2026,3.02125,0.01636,224,False,['0xf951e335afb289353dc249e82926178eac7ded78'],,,3.31425,,,
Arbitrum,pendle,WSTETH,485767,2.362,0.00403,2.36603,['0x0c880f6761f1af8d9aa9c466984b80dab9a8c9e8'],634de7f1-3fee-4f7b-84a7-49264375d5f2,0.00729,-0.02123,-0.17297,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 66, 'binnedConfidence': 2}",For LP | Maturity 25JUN2026,2.99419,0.03969,224,False,"['0x71fbf40651e9d4278a74586afc99f307f369ce9a', '0x80c12d5b6cc494632bf11b03f09436c8b61cc5df']",,,2.51053,0.0039,0.0349,
Arbitrum,pendle,WSTETH,485767,2.4126,,2.4126,,3dc97129-751e-4150-9b6f-34ab779ca0f2,1e-05,0.00556,0.00839,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 75, 'binnedConfidence': 3}",For buying PT-wstETH-25JUN2026,2.52465,0.00613,224,False,['0x5979d7b546e38e414f7e9822514be443a4800529'],,,2.40435,,,
Ethereum,pendle,ASDPENDLE,483091,17.49559,,17.49559,,599d01d6-44fb-41a8-a745-9db1083716d4,0.76675,0.63753,1.15101,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 80, 'binnedConfidence': 3}",For buying PT-asdPENDLE-26MAR2026,25.59435,0.44714,127,False,['0x606462126e4bd5c4d153fe09967e4c46c9c7fecf'],,,17.42756,,,
Ethereum,pendle,ASDPENDLE,483091,15.11192,0.15717,15.26909,['0x808507121b80c02388fad14726482e061b8da827'],521d3509-0d7b-4516-b537-0561a829567e,0.43816,-4.18073,-4.17704,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 62, 'binnedConfidence': 2}",For LP | Maturity 26MAR2026,32.45032,0.6362,127,False,"['0xab422a9b3767f4f1a2443882f5c0d1a01f30cde2', '0xc87d2d5a2117a495e0f04ef9304da603a86b7ad5']",,,18.73104,0.0,0.0,
Ethereum,pendle,NBASIS,454072,8.94597,0.28928,9.23526,['0x808507121b80c02388fad14726482e061b8da827'],4268643f-ff4d-4bfd-8ec3-ae0b0ae5ac87,3.31645,3.82073,2.6973,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 51, 'binnedConfidence': 1}",For LP | Maturity 26MAR2026,9.00647,0.23674,106,False,"['0x814708d8d74719a147887af01da1be44f640a27b', '0xa08c5b18a05317dc0ed43c9eea9ea6db85d84ed1']",,,7.26142,0.0,0.0,
Ethereum,pendle,NBASIS,454072,9.50098,,9.50098,,5a29a2e5-10e0-471b-9952-ff9d1abd9b85,0.29591,-0.73439,-0.89757,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 65, 'binnedConfidence': 2}",For buying PT-nBASIS-26MAR2026,10.98405,0.10691,106,False,['0x11113ff3a60c2450f4b22515cb760417259ee94b'],,,10.03405,,,
Ethereum,pendle,SBOLD,435007,3.75068,0.06416,3.81484,['0x808507121b80c02388fad14726482e061b8da827'],aea51635-6a47-4538-85e6-878421312271,-0.10598,-2.12843,,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 86, 'binnedConfidence': 3}",For LP | Maturity 25JUN2026,12.60523,0.44029,30,False,"['0xd7baa983d2a44409b4b8f23fc1152368bc5f10ad', '0xa73fb4f3a3f3889e41387973afc542fa06785981']",,,13.3421,0.0,0.0,
Ethereum,pendle,SBOLD,435007,4.49815,,4.49815,,70a7ef17-73b9-4bfb-ba7e-c63a72f09001,0.0,-0.50449,,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 59, 'binnedConfidence': 1}",For buying PT-sBOLD-25JUN2026,4.91527,0.03105,30,False,['0x50bd66d59911f5e086ec87ae43c811e0d059dd11'],,,4.88888,,,
Ethereum,pendle,ASDCRV,432688,28.48996,,28.48996,,7ecf7729-6c12-423f-837c-0f688746b787,-0.17192,-1.17059,10.0782,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 79, 'binnedConfidence': 3}",For buying PT-asdCRV-25JUN2026,20.72018,0.20239,72,False,['0x43e54c2e7b3e294de3a155785f52ab49d87b9922'],,,24.82175,,,
Ethereum,pendle,ASDCRV,432688,30.89019,2.877,33.76719,['0x808507121b80c02388fad14726482e061b8da827'],02d4887f-4415-43b3-8ec2-70020474af91,-0.21457,-2.09567,7.5624,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 88, 'binnedConfidence': 3}",For LP | Maturity 25JUN2026,25.25408,0.22604,72,False,"['0x4f3f6283abf1253baab099c94fe13ae1ce8194f1', '0x18c11b1dc74cab82ad18d5034fde93fe90a41d99']",,,29.8497,2983.12218,3440.78208,
Ethereum,pendle,UNIETH,421551,3.75285,0.00215,3.755,['0x808507121b80c02388fad14726482e061b8da827'],0f72592a-80bf-4ec4-966b-1af1d9ace829,-0.24003,1.14838,-0.59222,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 63, 'binnedConfidence': 2}",For LP | Maturity 25JUN2026,3.65441,0.05972,225,False,"['0xf1c9a56010b76ed39a3dca7e3bb25d7ed75e61c1', '0xc430db19339a3051192233b4c49f9ab3dc6d16b7']",,,4.11598,0.0,907.67876,
Ethereum,pendle,UNIETH,421551,4.20494,,4.20494,,c289de95-a67e-4461-9147-a8d8098777df,0.0,-0.00442,-0.49379,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 56.99999999999999, 'binnedConfidence': 1}",For buying PT-uniETH-25JUN2026,3.37763,0.02071,225,False,['0xf1376bcef0f78459c0ed0ba5ddce976f1ddf51f4'],,,4.2516,,,
Ethereum,pendle,YSYBOLD,388983,4.29175,0.05288,4.34463,['0x808507121b80c02388fad14726482e061b8da827'],c1158f96-eb6b-4e56-b445-e2142a28b513,-0.06184,0.0669,-0.48275,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 73, 'binnedConfidence': 2}",For LP | Maturity 28MAY2026,8.82881,0.31739,84,False,"['0x33e9a43b411000dd49c5ba66463f7dffaefa3fa6', '0xc93374d3044e61743547c1845071e94f6fd5123b']",,,10.84547,0.0,29.90269,
Ethereum,pendle,YSYBOLD,388983,6.70535,,6.70535,,222d12d0-17ae-4589-80f3-df7661ff1881,1e-05,0.28472,1.28341,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 65, 'binnedConfidence': 2}",For buying PT-ysyBOLD-28MAY2026,5.90263,0.03521,84,False,['0x23346b04a7f55b8760e5860aa5a77383d63491cd'],,,5.76392,,,
Hyperliquid L1,pendle,STHYPEAMMLP,383889,2.75315,0.4915,3.24465,['0xD6Eb81136884713E843936843E286FD2a85A205A'],596db7da-7a0a-45c3-bcfe-4ba432d4cd74,0.08899,0.71745,0.79371,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 68, 'binnedConfidence': 2}",For LP | Maturity 04JUN2026,2.93572,0.06628,71,False,"['0x31bec70012f6a197715f388eef86d65a798d945c', '0x570ec699c8ae1d43f3ede32d95fdaa6542d42278']",,,3.16284,0.0,0.0,
Hyperliquid L1,pendle,STHYPEAMMLP,383889,6.70674,,6.70674,,8ff5aa74-608e-431b-bd35-7938d6ffcd37,0.18766,1.13119,0.68573,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 66, 'binnedConfidence': 2}",For buying PT-stHYPE AMM LP-04JUN2026,5.24239,0.03301,71,False,['0x39694eff3b02248929120c73f90347013aec834d'],,,5.48123,,,
Ethereum,pendle,USDE,379250,3.40145,,3.40145,,83c2c8ab-d5f2-4418-afae-71f6ab8195f2,0.06505,-0.18622,-0.47419,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 53, 'binnedConfidence': 1}",For buying PT-USDe-07MAY2026,3.85776,0.03962,47,False,['0x4c9edd5852cd905f086c759e8383e09bff1e68b3'],,,3.54301,,,
Ethereum,pendle,USDE,379250,0.68322,5.1609,5.84412,['0x808507121b80c02388fad14726482e061b8da827'],1ebcbcfd-24e4-4458-a9ee-a616067ea249,4.58217,5.08598,4.3738,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 82, 'binnedConfidence': 3}",For LP | Maturity 07MAY2026,2.41135,0.11067,47,False,"['0xaebf0bb9f57e89260d57f31af34eb58657d96ce0', '0xf0bacd9c3d94fc924dbcaaf644208c4e3f4d3bb4']",,,2.18887,20068.99189,24935.28373,
Arbitrum,pendle,GUSDC,363409,7.75795,0.22541,7.98336,['0x0c880f6761f1af8d9aa9c466984b80dab9a8c9e8'],766b4c34-76b3-4a57-bbec-2c972ddf8b86,0.45973,3.04075,1.67801,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 56.00000000000001, 'binnedConfidence': 1}",For LP | Maturity 25JUN2026,8.80952,0.17168,42,False,"['0x97c1a4ae3e0da8009aff13e3e3ee7ea5ee4afe84', '0x0a9ed458e6c283d1e84237e3347333aa08221d09']",,,9.36005,0.0,0.0,
Arbitrum,pendle,GUSDC,363409,7.18446,,7.18446,,78859dcd-63ab-4d0e-bef4-d5a7efef393d,1e-05,0.02969,2.69671,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 60, 'binnedConfidence': 1}",For buying PT-gUSDC-25JUN2026,6.52152,0.07432,42,False,['0xd3443ee1e91af28e5fb858fbd0d72a63ba8046e0'],,,7.17875,,,
Ethereum,pendle,YNRWAX,343441,11.85684,,11.85684,,91338cef-96b3-4546-aa54-f95bcfa50a95,-0.13614,-1.44728,1.08865,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 75, 'binnedConfidence': 3}",For buying PT-ynRWAx-15OCT2026,11.07041,0.05069,106,False,['0x01ba69727e2860b37bc1a2bd56999c1afb4c15d8'],,,12.01186,,,
Ethereum,pendle,YNRWAX,343441,46.39654,5.32848,51.72502,['0x808507121b80c02388fad14726482e061b8da827'],59cc7f5d-7446-431b-ae0e-d2ccc8c13a9b,-1.50286,15.41411,39.24244,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 99, 'binnedConfidence': 3}",For LP | Maturity 15OCT2026,19.67302,0.56996,106,False,"['0x77db49ac43107f0cef6f65837aa55ee8ae4cd9fa', '0x5271be3516a36316465ee50c4288ce91e58f7759']",,,33.74634,4675.26558,68297.24132,
Hyperliquid L1,pendle,LHYPE,333975,3.67159,0.02748,3.69908,['0xD6Eb81136884713E843936843E286FD2a85A205A'],7d356f72-3a00-46d2-8f04-a66af3575da4,-0.06514,0.34469,0.48132,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 52, 'binnedConfidence': 1}",For LP | Maturity 28MAY2026,3.14571,0.07767,86,False,"['0xce1dad035013f566aa3b71b062a57ef1683f4b3d', '0x8608cc009e64d0ebe6ae071a3c6107e0124eff41']",,,2.92792,0.0,0.0,
Hyperliquid L1,pendle,LHYPE,333975,4.1566,,4.1566,,4a443925-99dd-4f62-9828-4fa68c7b390a,0.02953,0.16981,0.27943,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 51, 'binnedConfidence': 1}",For buying PT-LHYPE-28MAY2026,4.94058,0.05071,86,False,['0x5748ae796ae46a4f1348a1693de4b50560485562'],,,4.25912,,,
