chain,project,symbol,tvlUsd,apyBase,apyReward,apy,rewardTokens,pool,apyPct1D,apyPct7D,apyPct30D,stablecoin,ilRisk,exposure,predictions,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apyMean30d,volumeUsd1d,volumeUsd7d,apyBaseInception
Hyperliquid L1,pendle,VKHYPE,8003638,3.82141,,3.82141,,30fb2957-7b2d-4fad-920d-c023425c6c70,-0.00294,0.36281,-0.58286,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 56.99999999999999, 'binnedConfidence': 1}",For buying PT-vkHYPE-19MAR2026,3.62188,0.01958,86,False,['0x9ba2edc44e0a4632eb4723e81d4142353e1bb160'],,,3.66138,,,
BSC,pendle,UNIBTC,7867990,0.17593,0.0,0.17593,['0xb3ed0a426155b79b898849803e3b36552f7ed507'],472a97d0-fcd9-4501-811c-eec5922b596c,-4.97747,,,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 83, 'binnedConfidence': 3}",For LP | Maturity 25JUN2026,3.75581,0.12138,7,False,"['0x0af2b242a526447fefd6e29cd531ecb89616afd2', '0xe10b8c2b029c3369f7a910710ed4fa2b25059674']",,,4.43022,280.61679,304858.97401,
BSC,pendle,UNIBTC,7867990,0.9669,,0.9669,,560f9a0a-0d6a-42b7-8ffc-f43e6d480581,-3e-05,,,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 90, 'binnedConfidence': 3}",For buying PT-uniBTC-25JUN2026,0.97556,0.00071,7,False,['0x53176cadd446700fa6b89f840357ac586d7e33db'],,,0.97794,,,
Ethereum,pendle,SYUSD,7499484,6.47825,,6.47825,,c8be1789-c39b-4ddd-aadb-d157ee804517,-0.00349,-0.34848,-0.1759,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 56.99999999999999, 'binnedConfidence': 1}",For buying PT-sYUSD-26MAR2026,7.18774,0.05765,77,False,['0xfe0ccc9942e98c963fe6b4e5194eb6e3baa4cb64'],,,6.71255,,,
Ethereum,pendle,SYUSD,7499484,1.14756,0.06975,1.21731,['0x808507121b80c02388fad14726482e061b8da827'],43b3e1b6-cb3e-4423-b7d3-e60083eb8109,0.28979,0.20144,-1.10568,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 98, 'binnedConfidence': 3}",For LP | Maturity 26MAR2026,5.7291,0.14005,77,False,"['0x70186206183479f6b54fc0a38bf5fcac94d86286', '0x797f9d67a878250e0aa572c41a8a4e862ad09d5c']",,,3.59954,0.0,0.0,
Ethereum,pendle,REUSD,7044059,6.75833,1.66696,8.42529,['0x808507121b80c02388fad14726482e061b8da827'],cca4dedb-569c-49ab-b053-d48d8d41dfd4,-0.0703,-0.79165,-2.01713,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 60, 'binnedConfidence': 1}",For LP | Maturity 25JUN2026,10.43349,0.07276,78,False,"['0x3eaa0f0f0a5d3d595ae4e4b0d27f439d01c3e7b2', '0x9487bd5a3b16ecb5f3184453e3ee75b800141648']",,,10.25242,6652.7993,134253.27711,
Ethereum,pendle,REUSD,7044059,8.81997,,8.81997,,02c7722b-dfd6-415b-8292-01dddb88c6fc,-0.02246,0.01013,-1.36629,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 62, 'binnedConfidence': 2}",For buying PT-reUSD-25JUN2026,10.2384,0.04835,78,False,['0x5086bf358635b81d8c47c66d1c8b9e567db70c72'],,,9.39941,,,
BSC,pendle,SLISBNBX,6639715,4.30857,0.04658,4.35516,['0xb3ed0a426155b79b898849803e3b36552f7ed507'],60ed9a21-22ba-4f79-82ee-d677d9cf016e,-0.02662,-0.21769,-1.05931,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 87, 'binnedConfidence': 3}",For LP | Maturity 25JUN2026,8.33979,0.13281,115,False,"['0xe052823b4aefc6e230faf46231a57d0905e30ae0', '0x27faf900007b4cba7803000251ec96bc69ff1bea']",,,4.79144,0.0,22.1423,
BSC,pendle,SLISBNBX,6639715,3.06345,,3.06345,,55dfd750-dfb6-429b-8ff8-9d4c3192b6b4,0.00848,-0.12232,-1.90457,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 71, 'binnedConfidence': 2}",For buying PT-slisBNBx-25JUN2026,5.35068,0.05255,115,False,['0xb0b84d294e0c75a6abe60171b70edeb2efd14a1b'],,,3.99633,,,
Arbitrum,pendle,SUSDAI,6610580,6.78213,3.04617,9.8283,['0x0c880f6761f1af8d9aa9c466984b80dab9a8c9e8'],a157419e-f37a-4711-8d9b-d8139ec4fe91,-0.02681,2.98291,,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 55.00000000000001, 'binnedConfidence': 1}",For LP | Maturity 18JUN2026,8.08238,0.07552,12,False,"['0x07bc5bd6ce9a17f0e7aa91e0adbc9070dcb1d1de', '0x30ccf4bbee313fcd19f3e295b3ba2920a24e2f62']",,,8.05828,59101.26849,419515.88082,
